item,unit,grams_per_unit,portion_label,display_contains,display_excludes,evidence,reason
chestnut,count,8,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_chestnut_count_20260415),One chestnut ~8g.
hazelnut,count,1.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_hazelnut_count_20260415),One hazelnut ~1.5g.
macadamia,count,2,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_macadamia_count_20260415),One macadamia ~2g.
pistachio,count,1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_pistachio_count_20260415),One pistachio ~1g (kernel only).
cashew,count,1.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_cashew_count_20260415),One cashew ~1.5g.
mint,sprig,1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_mint_sprig_20260415),One mint sprig ~1g.
thyme,sprig,1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_thyme_sprig_20260415),Thyme sprig = 1g per USDA typical
rosemary,sprig,2,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_rosemary_sprig_20260415),Rosemary sprig = 2g per USDA typical
parsley,sprig,1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_parsley_sprig_20260415),One parsley sprig ~1g.
dill,sprig,0.4,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_dill_sprig_20260415),One dill sprig ~0.4g.
cilantro,sprig,1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_cilantro_sprig_20260415),One cilantro sprig ~1g.
basil,sprig,1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_basil_sprig_20260415),One basil sprig ~1g.
chives,sprig,1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_chive_sprig_20260415),Sprig of chives ~1g.
oregano,sprig,1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_oregano_sprig_20260415),One oregano sprig ~1g.
sage,leaf,0.3,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_sage_leaf_20260415),One fresh sage leaf ~0.3g.
kale,leaf,8,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_kale_leaf_20260415),One kale leaf ~8g.
collard,leaf,12,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_collard_leaf_20260415),One collard leaf ~12g.
swiss chard,leaf,15,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_swiss_chard_leaf_20260415),One Swiss chard leaf ~15g.
endive,leaf,3,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_endive_leaf_20260415),One endive leaf ~3g.
lemongrass,stalk,15,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_lemon_grass_stalk_20260415),One stalk lemongrass ~15g.
hard-boiled egg,count,50,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_hard_boiled_egg_count_20260415),One hard-boiled egg ~50g.
hard-boiled egg,large,50,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_hard_boiled_egg_large_20260415),One large hard-boiled egg ~50g.
parmesan cheese,box,225,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_parmesan_box_20260415),Standard 8oz box grated parmesan ~225g.
parmesan cheese,can,225,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_parmesan_can_20260415),Standard 8oz container grated parmesan ~225g.
parmesan cheese,count,225,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_parmesan_count_20260415),Count parmesan defaults to 8oz ~225g.
beef bouillon,cube,4,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_beef_bouillon_cube_20260415),Standard beef bouillon cube ~4g.
vegetable bouillon,cube,4,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_vegetable_bouillon_cube_20260415),Standard vegetable bouillon cube ~4g.
diced tomato,can,411,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_diced_tomato_can_20260415),Standard 14.5oz can diced tomato ~411g.
green bean,can,425,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_green_bean_can_20260415),Standard 15oz can green beans ~425g.
green beans,can,425,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_green_beans_can_20260415),Standard 15oz can green beans ~425g.
tomato juice,can,340,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_tomato_juice_can_20260415),Standard 11.5oz can tomato juice ~340g.
tomato juice,bottle,946,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_tomato_juice_bottle_20260415),Standard 32oz bottle tomato juice ~946g.
parsley,bunch,60,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_parsley_bunch_20260415),One bunch fresh parsley ~60g.
cilantro,bunch,55,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_cilantro_bunch_20260415),One bunch fresh cilantro ~55g.
spinach,bunch,340,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_spinach_bunch_20260415),One bunch fresh spinach ~340g.
kale,bunch,200,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_kale_bunch_20260415),One bunch fresh kale ~200g.
dill,bunch,30,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_dill_bunch_20260415),One bunch fresh dill ~30g.
basil,bunch,40,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_basil_bunch_20260415),One bunch fresh basil ~40g.
mint,bunch,40,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_mint_bunch_20260415),One bunch fresh mint ~40g.
chives,bunch,30,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_chives_bunch_20260415),One bunch chives ~30g.
egg roll wrap,count,16,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_egg_roll_wrap_count_20260415),One egg roll wrapper ~16g.
egg roll wrapper,count,16,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_egg_roll_wrapper_count_20260415),One egg roll wrapper ~16g.
wonton wrap,count,7,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_wonton_wrap_count_20260415),One wonton wrapper ~7g.
wonton wrapper,count,7,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_wonton_wrapper_count_20260415),One wonton wrapper ~7g.
spring roll wrap,count,16,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_spring_roll_wrap_count_20260415),One spring roll wrapper ~16g.
zucchini,piece,200,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_zucchini_piece_20260415),One zucchini ~200g (medium).
yellow squash,piece,200,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_yellow_squash_piece_20260415),One yellow squash ~200g.
shallot,piece,30,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_shallot_piece_20260415),One shallot ~30g.
chicken,piece,85,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_chicken_piece_20260415),Cut-up chicken piece = 85g per USDA portion
bay leaf,piece,0.2,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_bay_leaf_piece_20260415),One bay leaf ~0.2g.
bay leaves,piece,0.2,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_bay_leaves_piece_20260415),One bay leaf ~0.2g.
celery,piece,40,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_celery_piece_20260415_force),One stalk celery ~40g.
egg,piece,50,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_egg_piece_20260415_force),One large egg ~50g.
eggs,piece,50,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_eggs_piece_20260415_force),One large egg ~50g.
garlic clove,piece,5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_garlic_clove_piece_20260415),One garlic clove ~5g.
garlic cloves,piece,5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_garlic_cloves_piece_20260415),One garlic clove ~5g.
lemon,piece,50,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_lemon_piece_20260415_force),One medium lemon ~50g.
lemons,piece,50,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_lemons_piece_20260415_force),One medium lemon ~50g.
lemon juice,piece,30,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_lemon_juice_piece_20260415_force),Juice of one lemon ~30g.
lemon zest,piece,5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_lemon_zest_piece_20260415_force),Zest of one lemon ~5g.
lemon juice and zest,piece,35,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_lemon_juice_and_zest_piece_20260415_force),Juice+zest of one lemon ~35g.
watercress,leaf,1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_watercress_leaf_20260415),One watercress leaf ~1g.
watercress,bunch,85,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_watercress_bunch_20260415),One bunch watercress ~85g.
jalapeño peppers,count,15,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_jalapeno_peppers_count_20260415),One jalapeño pepper ~15g.
caper,count,0.3,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_caper_count_20260415),One caper ~0.3g.
capers,count,0.3,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_capers_count_20260415),One caper ~0.3g.
tuna steak,count,170,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_tuna_steak_count_20260415),One tuna steak ~170g (6oz).
anchovies,count,4,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_anchovies_count_20260415),One anchovy fillet ~4g.
peasant bread,loaf,500,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_peasant_bread_loaf_20260415),One loaf peasant bread ~500g.
peasant bread,slice,30,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_peasant_bread_slice_20260415),One slice peasant bread ~30g.
artisan bread,loaf,500,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_artisan_bread_loaf_20260415),One loaf artisan bread ~500g.
sourdough,loaf,500,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_sourdough_loaf_20260415),One loaf sourdough ~500g.
sourdough,slice,40,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_sourdough_slice_20260415),One slice sourdough ~40g.
rye bread,loaf,400,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_rye_bread_loaf_20260415),One loaf rye bread ~400g.
rye bread,slice,32,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_rye_bread_slice_20260415),One slice rye bread ~32g.
pumpernickel,loaf,500,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_pumpernickel_loaf_20260415),One loaf pumpernickel ~500g.
focaccia,count,500,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_focaccia_count_20260415),One focaccia ~500g.
corn bread,count,400,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_corn_bread_count_20260415),Standard 9-inch pan corn bread ~400g.
biscuit,count,40,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_biscuit_count_20260415),One biscuit ~40g.
biscuits,count,40,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_biscuits_count_20260415),One biscuit ~40g.
scone,count,75,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_scone_count_20260415),One scone ~75g.
dough,ball,200,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_dough_ball_20260415),One ball pizza dough ~200g.
pizza dough,ball,250,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_pizza_dough_ball_20260415),One ball pizza dough ~250g.
corn,husk,150,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_corn_husk_20260415),One ear corn (with husk) ~150g.
artichoke hearts,jar,170,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_artichoke_heart_jar_20260415),Standard 6oz jar artichoke hearts ~170g.
olives,jar,150,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_olives_jar_20260415),Standard 5.5oz jar olives ~150g.
pickles,jar,470,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_pickles_jar_20260415),Standard 16oz jar pickles ~470g.
capers,jar,99,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_capers_jar_20260415),Standard 3.5oz jar capers ~99g.
pesto,jar,180,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_pesto_jar_20260415),Standard 6oz jar pesto ~180g.
marinara,jar,680,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_marinara_jar_20260415),Standard 24oz jar marinara ~680g.
marinara sauce,jar,680,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_marinara_sauce_jar_20260415),Standard 24oz jar marinara ~680g.
pasta sauce,jar,680,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_pasta_sauce_jar_20260415),Standard 24oz jar pasta sauce ~680g.
alfredo sauce,jar,425,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_alfredo_sauce_jar_20260415),Standard 15oz jar Alfredo ~425g.
salsa,jar,450,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_salsa_jar_20260415),Standard 16oz jar salsa ~450g.
jam,jar,340,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_jam_jar_20260415),Standard 12oz jar jam ~340g.
jelly,jar,340,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_jelly_jar_20260415),Standard 12oz jar jelly ~340g.
preserves,jar,340,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_preserves_jar_20260415),Standard 12oz jar preserves ~340g.
apricot preserves,jar,340,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_apricot_preserves_jar_20260415),Standard 12oz jar apricot preserves ~340g.
strawberry preserves,jar,340,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_strawberry_preserves_jar_20260415),Standard 12oz jar strawberry preserves ~340g.
raspberry preserves,jar,340,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_raspberry_preserves_jar_20260415),Standard 12oz jar raspberry preserves ~340g.
peanut butter,jar,454,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_peanut_butter_jar_20260415),Standard 1lb jar peanut butter ~454g.
almond butter,jar,340,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_almond_butter_jar_20260415),Standard 12oz jar almond butter ~340g.
nutella,jar,371,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_nutella_jar_20260415),Standard 13oz jar Nutella ~371g.
honey,jar,454,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_honey_jar_20260415),Standard 1lb jar honey ~454g.
maple syrup,bottle,355,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_maple_syrup_bottle_20260415),Standard 12oz bottle maple syrup ~355g.
soy sauce,bottle,296,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_soy_sauce_bottle_20260415),Standard 10oz bottle soy sauce ~296g.
vinegar,bottle,473,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_vinegar_bottle_20260415),Standard 16oz bottle vinegar ~473g.
olive oil,bottle,500,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_olive_oil_bottle_20260415),Standard 500ml bottle olive oil ~500g.
extra virgin olive oil,bottle,500,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_extra_virgin_olive_oil_bottle_20260415),Standard 500ml bottle EVOO ~500g.
vegetable oil,bottle,946,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_vegetable_oil_bottle_20260415),Standard 32oz bottle vegetable oil ~946g.
chicken stock,carton,946,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_chicken_stock_carton_20260415),Standard 32oz carton chicken stock ~946g.
chicken broth,carton,946,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_chicken_broth_carton_20260415),Standard 32oz carton chicken broth ~946g.
beef broth,carton,946,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_beef_broth_carton_20260415),Standard 32oz carton beef broth ~946g.
vegetable broth,carton,946,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_vegetable_broth_carton_20260415),Standard 32oz carton vegetable broth ~946g.
sunflower oil,cup,218,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_sunflower_oil_cup_20260415),SR28 cooking oil cup convention using established oil density.
sunflower oil,tbsp,13.6,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_sunflower_oil_tbsp_20260415),SR28 cooking oil tablespoon convention using established oil density.
safflower oil,cup,218,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_safflower_oil_cup_20260415),SR28 cooking oil cup convention using established oil density.
safflower oil,tbsp,13.6,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_safflower_oil_tbsp_20260415),SR28 cooking oil tablespoon convention using established oil density.
avocado,small,136,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_avocado_small_20260415),SR28 avocado small whole edible portion is about 136g.
avocado,cup,150,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_avocado_cup_20260415),SR28 avocado cup cubes is 150g.
mango,cup,165,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_mango_cup_20260415),SR28 mango cup pieces is 165g.
mango,large,336,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_mango_large_20260415),SR28 large mango edible portion is about 336g.
mango,small,150,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_mango_small_20260415),Small mango estimate below the reviewed medium mango rule.
mango nectar,cup,253,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_mango_nectar_cup_20260415),Juice/nectar cup density uses 253g per cup convention.
mango chutney,tsp,6.7,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_mango_chutney_tsp_20260415),Mango chutney teaspoon derived from reviewed 20g tablespoon.
green pepper,cup,149,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_green_pepper_cup_20260415),SR28 sweet green pepper cup chopped is 149g.
green pepper,large,164,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_green_pepper_large_20260415),SR28 sweet red/green pepper large portion is 164g.
green pepper,ring,10,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_green_pepper_ring_20260415),SR28 sweet pepper ring portion is about 10g.
red onion,large,200,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_red_onion_large_20260415),Large red onion uses established large onion estimate.
red onion,tbsp,10,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_red_onion_tbsp_20260415),Chopped/sliced onion tablespoon derived from 160g cup / 16.
butter lettuce,head,300,,,,codex_form_facet_regression_20260510,Purchase bridge override: SR28 butterhead head 5in is 163g edible portion; pantry/cart head lettuce should consume a small whole head.
butterhead lettuce,head,300,,,,codex_form_facet_regression_20260510,Purchase bridge override: butterhead/butter lettuce head should not consume only the 163g SR28 edible portion.
bread,loaf,500,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_bread_loaf_20260415),Generic loaf bread estimate used when line already gives loaf as unit.
chow mein noodles,cup,45,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_chow_mein_noodles_cup_20260415),Dry chow mein noodle cup estimate for crunchy/dry salad topping rows.
elbow macaroni,cup,122,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_elbow_macaroni_cup_20260415),SR28 dry enriched macaroni cup portion is 122g.
plain yogurt,cup,245,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_plain_yogurt_cup_20260415),SR28 plain yogurt cup convention is 245g.
plain yogurt,tbsp,15.3,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_plain_yogurt_tbsp_20260415),Plain yogurt tablespoon derived from 245g cup / 16.
natural yogurt,tbsp,15.3,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_natural_yogurt_tbsp_20260415),Natural yogurt tablespoon uses plain yogurt density.
nonfat yogurt,cup,245,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_nonfat_yogurt_cup_20260415),SR28 plain skim yogurt cup convention is 245g.
nonfat yogurt,tbsp,15.3,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_nonfat_yogurt_tbsp_20260415),Nonfat yogurt tablespoon derived from 245g cup / 16.
dried basil,tsp,0.7,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_dried_basil_tsp_20260415),SR28 dried basil teaspoon leaf portion is 0.7g.
onion salt,tsp,6,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_onion_salt_tsp_20260415),Onion salt teaspoon uses salt-family teaspoon mass.
thai green curry paste,tbsp,15,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_thai_green_curry_paste_tbsp_20260415),Thai curry paste tablespoon uses wet paste/sauce estimate.
spicy brown mustard,tsp,5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_spicy_brown_mustard_tsp_20260415),Prepared mustard teaspoon convention is 5g.
stone ground mustard,tbsp,15,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_stone_ground_mustard_tbsp_20260415),Prepared mustard tablespoon convention is 15g.
oyster sauce,tbsp,18,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_oyster_sauce_tbsp_20260415),SR28 oyster sauce tablespoon is about 18g.
olive juice,tbsp,15,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_olive_juice_tbsp_20260415),Olive brine tablespoon uses water/vinegar density estimate.
coleslaw dressing,cup,240,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_coleslaw_dressing_cup_20260415),Prepared dressing cup uses 240g dressing estimate.
black olive tapenade,cup,240,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_black_olive_tapenade_cup_20260415),Olive tapenade cup uses dense olive spread estimate.
creme fraiche,cup,240,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_creme_fraiche_cup_20260415),Creme fraiche cup uses sour cream/cream density estimate.
pepper jelly,cup,320,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_pepper_jelly_cup_20260415),Jelly/preserve cup uses reviewed preserve density estimate.
lager beer,bottle,355,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_lager_beer_bottle_20260415),Standard beer bottle is 12 fl oz / 355g.
mandarin oranges,can,312,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_mandarin_orange_can_20260415),Standard 11oz can mandarin orange segments is about 312g.
green pea,cup,145,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_green_pea_cup_20260415),SR28 raw green peas cup is about 145g.
peas,cup,145,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_peas_cup_20260415),Generic peas cup uses raw green pea cup estimate.
pea,cup,134,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_frozen_pea_cup_20260415),SR28 frozen green peas cup is about 134g.
mixed berry,cup,148,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_mixed_berry_cup_20260415),Mixed berries cup uses common berry cup estimate.
fresh tarragon,tsp,0.8,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_fresh_tarragon_tsp_20260415),Fresh chopped herb teaspoon estimate aligned with fresh thyme.
thai basil,cup,24,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_thai_basil_cup_20260415),Fresh basil cup estimate for loose leaves.
lime peel,tsp,2,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_lime_peel_tsp_20260415),Grated citrus peel teaspoon estimate.
orange zest,tsp,2,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_orange_zest_tsp_20260415),Grated citrus zest teaspoon estimate.
msg,tsp,4,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_msg_tsp_20260415),MSG teaspoon crystalline seasoning estimate.
sumac,tbsp,6,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_sumac_tbsp_20260415),Ground sumac tablespoon dry spice estimate.
dashi,tsp,2.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_dashi_tsp_20260415),Dashi granules teaspoon dry seasoning estimate.
bean threads,cup,140,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_bean_threads_cup_20260415),SR28 mung-bean cellophane noodles portion one cup is 140g.
salad dressing,tbsp,15,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_salad_dressing_tbsp_20260415),SR28 regular Italian dressing tablespoon is about 15g.
salad dressing,cup,240,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_salad_dressing_cup_20260415),SR28 regular Italian dressing cup is about 240g.
mixed melon,cup,170,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_mixed_melon_cup_20260415),SR28 honeydew diced cup is 170g; mixed honeydew/cantaloupe cup uses this proxy.
white grape juice,cup,253,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_white_grape_juice_cup_20260415),SR28 grape juice cup is 253g.
white grape juice,tbsp,15.8,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_white_grape_juice_tbsp_20260415),White grape juice tablespoon derived from SR28 grape juice cup.
ginger juice,tsp,5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_ginger_juice_tsp_20260415),Ginger juice teaspoon uses liquid teaspoon mass.
cucumber,inch,20,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_cucumber_inch_20260415),Cucumber inch-length estimate for sliced cucumber garnish/use rows.
red cabbage,head,908,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_red_cabbage_head_20260415),SR28 medium cabbage head is 908g; red cabbage uses same raw cabbage portion.
shallot,large,45,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_shallot_large_20260415),Large shallot estimate above the reviewed 30g medium shallot.
papaya,medium,304,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_papaya_medium_20260415),SR28 medium papaya edible portion estimate.
pumpkin,small,800,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_pumpkin_small_20260415),Small cooking pumpkin estimate aligned with sugar-pie/baby pumpkin reviewed rule.
